fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220621 232502	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	55	TRUE	0.184040138712735	0.452799517316744	12171	1154	0.0443897059104832	97710000	HT7310	806	1658475	1
20220621 233401	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	60	TRUE	0.115417340939282	0.916795817958191	13619	1582	0.0151020779521787	127683000	HT7310	806	1658475	2
20220621 234149	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	29	TRUE	0.172799473750172	0.836975238211453	3535	1084	0.0331082158367887	105667000	HT7310	806	1658475	3
20220621 235749	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	75	TRUE	0.0897250732399989	0.577565854294226	7579	1268	0.0362281363588409	107645000	HT7310	806	1658475	4
20220622 000533	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	74	TRUE	0.153517045153771	0.632099738959223	18449	432	0.0263105080288369	120046000	HT7310	806	1658475	5
20220622 001059	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	25	TRUE	0.279439190164907	0.736557888425887	10058	710	0.0394158202281687	99943000	HT7310	806	1658475	6
20220622 001944	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	23	TRUE	0.260586140411207	0.417425187313929	2510	1457	0.0236497471812375	101057000	HT7310	806	1658475	7
20220622 003048	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	50	TRUE	0.159107439665589	0.529146218327806	11426	924	0.0215739456568069	124518000	HT7310	806	1658475	8
20220622 004655	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	143	TRUE	0.10470000884356	0.344613847341388	14776	2026	0.0108975400134417	125869000	HT7310	806	1658475	9
20220622 005234	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	35	TRUE	0.204344093257794	0.969816592922434	16361	577	0.0284319197987012	117244000	HT7310	806	1658475	10
20220622 010726	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	26	TRUE	0.0673488930143649	0.797721011620015	187	1681	0.0346976126199782	70420000	HT7310	806	1658475	11
20220622 011929	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	134	TRUE	0.0798145265413914	0.689869501842186	15088	1387	0.0463748546593706	97790000	HT7310	806	1658475	12
20220622 012625	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	96	TRUE	0.128966987595893	0.676180207934231	6990	40	0.0424405900887602	99737000	HT7310	806	1658475	13
20220622 013531	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	36	TRUE	0.236721887424937	0.485639310022816	8340	1772	0.0487522548942555	88387000	HT7310	806	1658475	14
20220622 014253	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	53	TRUE	0.22170893414563	0.220928721828386	4284	155	0.0129225059650101	116812000	HT7310	806	1658475	15
20220622 021329	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	408	TRUE	0.0401858101334656	0.879573077280074	9382	777	0.0103936391426638	126502000	HT7310	806	1658475	16
20220622 023757	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	111	TRUE	0.0311667510834523	0.300394004425034	1554	980	0.0296933328718296	113325000	HT7310	806	1658475	17
20220622 024531	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	41	TRUE	0.299876477087382	0.365876872427762	17579	357	0.0408809087379874	98807000	HT7310	806	1658475	18
20220622 025141	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	22	TRUE	0.248731198864989	0.94859800260514	5001	1893	0.0206809622555738	112413000	HT7310	806	1658475	19
